Date,ADI,AMAT,AMD,ARM,ASML,ASX,AVGO,CRDO,ENTG,INTC,KLAC,LRCX,MCHP,MPWR,MRVL,MTSI,MU,NVDA,NVMI,NXPI,ON,QCOM,RMBS,STM,SWKS,TER,TSM,TXN,UMC
2024-01-02,185.60279846191406,151.11727905273438,138.5800018310547,68.91999816894531,701.1107788085938,8.4310302734375,105.74688720703125,18.3799991607666,112.89144134521484,47.16828155517578,54.87083435058594,73.3626708984375,80.67460632324219,592.8492431640625,57.698028564453125,90.27999877929688,81.67503356933594,48.0825309753418,135.64999389648438,211.65658569335938,81.44999694824219,132.43649291992188,65.25,47.03120040893555,99.71904754638672,103.7664566040039,98.2740478515625,156.75918579101562,7.248822212219238
2024-01-03,181.1731719970703,148.25877380371094,135.32000732421875,67.91000366210938,687.859619140625,7.985336780548096,103.13578033447266,18.09000015258789,109.05052185058594,46.42819595336914,54.107093811035156,72.15154266357422,78.8199234008789,567.623779296875,56.29946517944336,85.72000122070312,81.59569549560547,47.484596252441406,132.10000610351562,206.77621459960938,79.30999755859375,129.95269775390625,63.90999984741211,45.70830535888672,96.15471649169922,100.77539825439453,96.9576644897461,154.42529296875,7.0387115478515625
2024-01-04,178.4022674560547,146.16384887695312,136.00999450683594,68.38999938964844,684.84765625,7.9760518074035645,102.20339965820312,17.940000534057617,107.94180297851562,46.25057601928711,53.50490951538086,71.57877349853516,77.72947692871094,560.5174560546875,57.6597900390625,82.75,82.04206085205078,47.912837982177734,131.9600067138672,198.8144073486328,76.19999694824219,128.60215759277344,62.7400016784668,43.6753044128418,94.33599853515625,100.60701751708984,95.95101928710938,152.3229217529297,7.1175031661987305
2024-01-05,178.86248779296875,145.8603973388672,138.5800018310547,67.05000305175781,687.830322265625,7.957480430603027,102.22970581054688,17.530000686645508,108.82283020019531,46.27030944824219,53.296348571777344,71.70801544189453,78.27935791015625,563.393310546875,59.496726989746094,81.83000183105469,82.77608489990234,49.00988006591797,129.32000732421875,196.86224365234375,75.69999694824219,129.1310272216797,63.400001525878906,43.39321517944336,94.38168334960938,101.7856216430664,96.41563415527344,152.90643310546875,7.091239929199219
2024-01-08,181.19235229492188,148.36647033691406,146.17999267578125,72.83999633789062,704.9443359375,8.171042442321777,104.720947265625,18.850000381469727,111.73323059082031,47.809696197509766,55.063724517822266,74.1322250366211,79.81717681884766,579.8046264648438,63.65711975097656,84.66000366210938,84.26396942138672,52.160282135009766,131.4600067138672,203.03453063964844,77.94000244140625,131.30322265625,66.58999633789062,44.210304260253906,96.9406967163086,104.87574005126953,98.9612808227539,156.09234619140625,7.20504903793335
2024-01-09,181.94021606445312,147.84764099121094,149.25999450683594,71.87999725341797,700.162109375,8.133901596069336,105.46530151367188,19.950000762939453,111.4758529663086,47.41497802734375,54.474273681640625,73.62899017333984,79.53755187988281,582.7885131835938,63.02164077758789,83.63999938964844,82.65705108642578,53.04571533203125,130.9499969482422,202.59432983398438,77.02999877929688,132.11538696289062,66.69999694824219,43.45158004760742,95.57894134521484,104.2319564819336,98.62250518798828,156.17572021484375,7.099993705749512
2024-01-10,180.60748291015625,146.65335083007812,148.5399932861328,70.7699966430664,701.9615478515625,8.143186569213867,105.27823638916016,19.739999771118164,111.80252075195312,46.84264373779297,54.449798583984375,73.40086364746094,79.63078308105469,578.312744140625,62.98193359375,84.08000183105469,81.7147216796875,54.253570556640625,131.0,202.1924285888672,75.61000061035156,131.567626953125,65.20999908447266,43.17921447753906,95.35045623779297,103.87539672851562,97.5674819946289,154.89764404296875,7.0387115478515625
2024-01-11,181.1731719970703,148.7482452392578,148.02000427246094,69.7699966430664,702.6853637695312,8.143186569213867,107.1693344116211,19.799999237060547,110.94129943847656,47.010398864746094,55.04219055175781,74.42985534667969,79.87309265136719,577.5667114257812,65.40470886230469,83.70999908447266,82.71656799316406,54.72472381591797,133.44000244140625,202.38381958007812,74.43000030517578,131.30322265625,66.27999877929688,43.03330612182617,94.21717834472656,104.09329223632812,97.97399139404297,153.36949157714844,6.986184120178223
2024-01-12,180.597900390625,148.06300354003906,146.55999755859375,70.0,697.4923095703125,8.124616622924805,107.9195327758789,18.899999618530273,110.66410064697266,46.49726486206055,54.89237976074219,74.37797546386719,79.60282135009766,568.0752563476562,65.21603393554688,84.25,81.72464752197266,54.61292266845703,133.8000030517578,200.1062774658203,73.47000122070312,132.40814208984375,65.97000122070312,42.371849060058594,93.65968322753906,103.80607604980469,97.99334716796875,152.69342041015625,6.9599199295043945
2024-01-16,180.05140686035156,150.5200958251953,158.74000549316406,68.4800033569336,690.9205932617188,8.096760749816895,108.62881469726562,18.989999771118164,111.59464263916016,46.43806457519531,55.499446868896484,74.52189636230469,79.36980438232422,585.3994140625,65.05715942382812,86.16999816894531,83.92671966552734,56.281959533691406,133.60000610351562,199.99143981933594,73.80000305175781,133.2770538330078,68.87000274658203,42.36212921142578,93.49518585205078,103.09298706054688,98.40956115722656,151.7765350341797,6.854864597320557
2024-01-17,177.7886505126953,150.13832092285156,160.1699981689453,69.86000061035156,696.5633544921875,8.013192176818848,107.52883911132812,18.75,110.49580383300781,45.4512825012207,55.077430725097656,73.71515655517578,77.67355346679688,573.5620727539062,64.8982925415039,85.06999969482422,82.6074447631836,55.953548431396484,132.36000061035156,196.63258361816406,72.2699966430664,131.57708740234375,67.55999755859375,41.399131774902344,91.59420013427734,101.87476348876953,99.64852142333984,150.4243621826172,6.688526630401611
