Date,ADI,ALAB,AMAT,AMD,ARM,ASML,ASX,AVGO,CRDO,ENTG,INTC,KLAC,LRCX,MCHP,MPWR,MRVL,MTSI,MU,NVDA,NVMI,NXPI,ON,QCOM,RMBS,STM,SWKS,TER,TSM,TXN,UMC
2026-01-02,271.3135070800781,179.55999755859375,267.9151611328125,223.47000122070312,114.7300033569336,1158.216064453125,16.69208526611328,346.3441467285156,143.22000122070312,89.34810638427734,39.380001068115234,126.97584533691406,184.70843505859375,63.941776275634766,933.0181274414062,89.25901794433594,174.9600067138672,315.23907470703125,188.6199493408203,347.3399963378906,219.39332580566406,56.70000076293945,170.31703186035156,99.27999877929688,27.261457443237305,63.086952209472656,207.31527709960938,317.96728515625,174.58331298828125,7.704452991485596
2026-01-05,274.83203125,167.11000061035156,283.310302734375,221.0800018310547,116.11000061035156,1222.3179931640625,16.791088104248047,342.15960693359375,140.24000549316406,93.0593032836914,39.369998931884766,134.74501037597656,194.38999938964844,65.93780517578125,951.67236328125,90.09779357910156,170.75999450683594,311.970947265625,187.89083862304688,382.8800048828125,221.97116088867188,58.689998626708984,173.59576416015625,97.5,27.30129623413086,63.831459045410156,219.24119567871094,320.5937194824219,174.2390899658203,7.635663032531738
2026-01-06,290.34332275390625,161.00999450683594,294.9588317871094,214.35000610351562,115.52999877929688,1236.2510986328125,17.32571029663086,342.50830078125,132.9499969482422,99.32444763183594,40.040000915527344,138.98428344726562,206.56683349609375,73.61711120605469,1001.8453369140625,88.10072326660156,171.77000427246094,343.23297119140625,187.0119171142578,391.30999755859375,243.85299682617188,61.7599983215332,179.64125061035156,97.0,29.293365478515625,64.9188232421875,228.5701904296875,325.7471008300781,188.922119140625,7.979611873626709
2026-01-07,290.29376220703125,165.77000427246094,291.162353515625,210.02000427246094,115.68000030517578,1222.5966796875,17.444517135620117,342.2392883300781,141.0,97.61849212646484,42.630001068115234,135.46633911132812,202.69419860839844,72.70268249511719,955.7080688476562,84.51597595214844,170.6199951171875,339.355224609375,188.87962341308594,379.0,237.29934692382812,61.88999938964844,177.4160614013672,91.6500015258789,28.765466690063477,58.6003303527832,222.21768188476562,317.04205322265625,182.63783264160156,8.77560806274414
2026-01-08,296.5082092285156,156.72999572753906,280.6398620605469,204.67999267578125,113.08000183105469,1188.6099853515625,17.15740394592285,331.2597351074219,141.58999633789062,99.61376953125,41.11000061035156,131.97032165527344,200.57823181152344,72.29953002929688,955.7180786132812,83.32771301269531,167.66000366210938,326.8323974609375,184.81459045410156,375.7900085449219,235.86170959472656,60.88999938964844,179.07017517089844,91.33999633789062,27.92879867553711,59.42320251464844,216.0549774169922,316.37554931640625,185.33248901367188,8.402177810668945
2026-01-09,298.26251220703125,162.61000061035156,300.11041259765625,203.1699981689453,111.79000091552734,1267.7896728515625,17.46431541442871,343.7038879394531,150.4199981689453,102.74633026123047,45.54999923706055,139.48245239257812,217.94515991210938,73.96125793457031,955.5984497070312,83.15785217285156,174.8699951171875,344.8920593261719,184.63479614257812,394.07000732421875,239.09390258789062,62.15999984741211,175.04315185546875,93.37999725341797,28.72562599182129,58.94319534301758,217.0038604736328,321.9666442871094,187.16172790527344,8.638028144836426
2026-01-12,291.2551574707031,172.57000732421875,306.14892578125,207.69000244140625,111.13999938964844,1275.1043701171875,18.088041305541992,350.9173278808594,156.07000732421875,101.59904479980469,44.060001373291016,142.28903198242188,219.9812774658203,72.16187286376953,963.7596435546875,82.82809448242188,197.5500030517578,345.6716003417969,184.71470642089844,403.6199951171875,236.29795837402344,58.75,166.66415405273438,92.9000015258789,28.23756980895996,57.65010452270508,224.09547424316406,330.0647888183594,185.94223022460938,8.696990966796875
2026-01-13,293.5843200683594,180.55999755859375,303.7873229980469,220.97000122070312,107.83999633789062,1264.08740234375,18.51375961303711,353.3085021972656,161.3800048828125,101.82850646972656,47.290000915527344,143.64898681640625,213.9727325439453,72.83049774169922,979.822998046875,82.98797607421875,213.52000427246094,337.93603515625,185.58364868164062,404.6499938964844,237.0514678955078,59.40999984741211,162.74542236328125,95.4800033569336,28.317251205444336,57.30724334716797,228.9997100830078,329.5076599121094,185.41116333007812,8.510275840759277
2026-01-14,295.3485107421875,172.13999938964844,300.81793212890625,223.60000610351562,104.98999786376953,1257.67822265625,18.691965103149414,338.642578125,156.83999633789062,103.8437271118164,48.720001220703125,142.919677734375,208.39332580566406,73.43029022216797,980.141845703125,81.14935302734375,215.00999450683594,333.1587829589844,182.91688537597656,413.0400085449219,238.75680541992188,60.58000183105469,162.0069580078125,100.62000274658203,27.769432067871094,58.63951873779297,229.91860961914062,325.4287414550781,190.24977111816406,8.638028144836426
2026-01-15,299.4221496582031,174.4499969482422,317.94683837890625,227.9199981689453,105.11000061035156,1325.233642578125,18.99888038635254,341.76104736328125,149.1199951171875,113.27137756347656,48.31999969482422,153.92486572265625,217.05686950683594,73.20413970947266,1005.9906616210938,80.31996154785156,218.92999267578125,336.4368896484375,186.8221435546875,434.54998779296875,236.56565856933594,60.279998779296875,158.90545654296875,103.06999969482422,27.888957977294922,57.26805877685547,227.43153381347656,339.88409423828125,185.9914093017578,8.618374824523926
2026-01-16,297.5885314941406,182.0,325.84869384765625,231.8300018310547,105.77999877929688,1352.0745849609375,19.21668815612793,350.4191589355469,150.97000122070312,117.07235717773438,46.959999084472656,156.20240783691406,222.53643798828125,73.449951171875,1029.5377197265625,80.39990997314453,220.67999267578125,362.54193115234375,186.0031280517578,445.70001220703125,235.08836364746094,60.33000183105469,156.96580505371094,107.98999786376953,27.918838500976562,56.59212875366211,227.88101196289062,340.64013671875,188.4107208251953,9.13921070098877
2026-01-20,293.04913330078125,183.75,317.09991455078125,231.9199981689453,107.16999816894531,1319.7301025390625,18.711767196655273,331.3793029785156,153.22000122070312,114.72791290283203,48.560001373291016,148.06858825683594,221.9874725341797,71.945556640625,1030.8529052734375,79.74040222167969,221.6999969482422,364.7906494140625,177.8530731201172,452.0899963378906,228.73300170898438,60.060001373291016,151.6981658935547,110.0999984741211,27.012449264526367,56.23946762084961,223.71592712402344,325.4784851074219,186.45362854003906,10.593622207641602
2026-01-21,302.26666259765625,176.0050048828125,324.0849609375,249.8000030517578,113.91999816894531,1353.58740234375,18.790969848632812,327.5932312011719,139.16000366210938,119.45669555664062,54.25,151.43807983398438,227.9561004638672,74.92485046386719,1071.1507568359375,82.48834991455078,226.25,388.88677978515625,183.09669494628906,463.0199890136719,231.72726440429688,63.130001068115234,153.96275329589844,125.93000030517578,28.40689468383789,57.356224060058594,231.61660766601562,324.44384765625,191.1938934326172,10.93757152557373
2026-01-22,305.7851867675781,176.35000610351562,317.65789794921875,253.72999572753906,119.19999694824219,1388.33056640625,18.87017250061035,324.2953796386719,135.10000610351562,118.23959350585938,54.31999969482422,149.4454803466797,220.2807159423828,74.20706939697266,1072.884765625,83.0379409790039,224.2899932861328,397.3518981933594,184.6148223876953,461.3699951171875,234.73143005371094,63.06999969482422,155.3707275390625,124.7699966430664,28.914873123168945,58.45338439941406,228.86984252929688,325.6874084472656,191.76431274414062,10.7115478515625
2026-01-23,302.8910827636719,169.66000366210938,321.23516845703125,259.67999267578125,116.06999969482422,1382.3990478515625,19.19688606262207,318.8753662109375,133.16000366210938,114.43860626220703,45.06999969482422,150.71873474121094,217.52597045898438,73.45979309082031,1060.0001220703125,80.17008209228516,219.25999450683594,399.4207458496094,187.44137573242188,460.9100036621094,230.49783325195312,61.97999954223633,153.4212188720703,115.30999755859375,28.934791564941406,57.75786590576172,228.9097900390625,333.14886474609375,190.11209106445312,10.357771873474121
2026-01-26,301.315185546875,163.25,318.3255310058594,251.30999755859375,114.7300033569336,1406.5927734375,19.632505416870117,323.6577453613281,128.02000427246094,115.3564224243164,42.4900016784668,153.73257446289062,222.44659423828125,73.53844451904297,1064.3846435546875,81.70893096923828,218.88999938964844,388.8667907714844,186.2428436279297,462.05999755859375,229.0800323486328,61.130001068115234,152.14122009277344,114.19000244140625,28.4865779876709,58.54155349731445,231.4767608642578,330.9999694824219,193.33782958984375,11.134113311767578
2026-01-27,301.13677978515625,170.92999267578125,331.5284729003906,252.02999877929688,114.87999725341797,1447.6356201171875,19.870115280151367,331.568603515625,129.57000732421875,120.12511444091797,43.93000030517578,161.03546142578125,238.00698852539062,73.90225982666016,1091.6385498046875,82.8680648803711,219.1999969482422,410.0046691894531,188.29034423828125,477.07000732421875,227.46392822265625,62.630001068115234,150.68399047851562,115.70999908447266,29.24356460571289,58.82564163208008,238.6582794189453,336.60101318359375,193.37716674804688,12.264230728149414
2026-01-28,314.814453125,167.89999389648438,335.5541076660156,252.74000549316406,109.95999908447266,1416.1171875,20.058223724365234,332.0169372558594,129.66000366210938,120.464599609375,48.779998779296875,162.1184539794922,239.12486267089844,78.93657684326172,1157.6954345703125,83.55755615234375,226.25,435.03033447265625,191.2866973876953,487.17999267578125,237.98345947265625,64.93000030517578,150.3492431640625,124.44000244140625,30.209716796875,54.15289306640625,250.18467712402344,340.5406799316406,212.5939178466797,11.183249473571777
2026-01-29,315.8749694824219,160.4600067138672,340.1278076171875,252.17999267578125,108.43000030517578,1448.2030029296875,19.583003997802734,329.51617431640625,129.47000122070312,122.52142333984375,48.65999984741211,167.84817504882812,247.6985321044922,78.03197479248047,1178.9903564453125,81.27924346923828,227.72999572753906,435.5400390625,192.27548217773438,497.6300048828125,231.50914001464844,62.20000076293945,149.8766326904297,121.5999984741211,28.506500244140625,54.652496337890625,251.5730438232422,337.8048095703125,215.34759521484375,10.397080421447754
